Surface,✓,Stick date,Stick num,Opto date,Opto num,Bio date,Bio num,MINC label,Surface Location,Data Location 1,Data location 2,Processed,Operator,Notes
Acrylic,✓,20170221,2,20170221,2,20170222,2,plastic,HaTT,Seagate,Lab server,Yes,Alex,
Canvas 2,✓,20170221,3,20170221,3,20170222,3,fabric,HaTT,Seagate,Lab server,Yes,Alex,
Carpet A,✓,20170221,48,20170222,1,20170223,20,carpet,HaTT,Seagate,Lab server,Yes,Alex,
Carpet C,✓,20170221,52,20170222,5,20170223,24,carpet,HaTT,Seagate,Lab server,Yes,Alex,
Cotton,✓,20170221,34,20170221,35,20170223,3,other,HaTT,Seagate,Lab server,Yes,Alex,
Denim,✓,20170221,31,20170221,32,20170222,30,fabric,HaTT,Seagate,Lab server,Yes,Alex,
Felt,✓,20170221,15,20170221,14,20170222,14,fabric,HaTT,Seagate,Lab server,Yes,Alex,
Floor Tile A,✓,20170221,30,20170221,31,20170222,29,tile,HaTT,Seagate,Lab server,Yes,Alex,
Folder,✓,20170221,35,20170221,36,20170223,4,paper,HaTT,Seagate,Lab server,Yes,Alex,
Leather A (back),✓,20170221,22,20170221,21,20170222,21,leather,HaTT,Seagate,Lab server,Yes,Alex,
Leather B (back),✓,20170221,57,20170222,11,20170223,30,leather,HaTT,Seagate,Lab server,Yes,Alex,
Leather B (front),,20170221,26,,,20170222,25,leather,HaTT,Seagate,Lab server,Yes,Alex,
Nitrile Glove,✓,20170221,43,20170221,45,20170223,15,other,HaTT,Seagate,Lab server,Yes,Alex,
Nylon Bag,✓,20170221,46,20170221,48,20170223,18,fabric,HaTT,Seagate,Lab server,Yes,Alex,
Nylon Mesh,✓,20170221,29,20170221,30,20170222,28,other,HaTT,Seagate,Lab server,Yes,Alex,
Nylon Strap,,20170221,8,20170221,7,20170222,7,fabric,HaTT,Seagate,Lab server,Yes,Alex,
Paper Bag,✓,20170221,23,20170221,22,20170222,22,paper,HaTT,Seagate,Lab server,Yes,Alex,
Portfolio Cover,✓,20170221,36,20170221,37,20170223,5,leather,HaTT,Seagate,Lab server,Yes,Alex,
Silk 2,✓,20170221,12,20170221,11,20170222,11,fabric,HaTT,Seagate,Lab server,Yes,Alex,
Small Plastic Mesh,✓,20170221,28,20170221,28,20170222,27,other,HaTT,Seagate,Lab server,Yes,Alex,
Textured Cloth,✓,20170221,33,20170221,34,20170223,2,fabric,HaTT,Seagate,Lab server,Yes,Alex,
Textured Paper,✓,20170221,51,20170222,4,20170223,23,paper,HaTT,Seagate,Lab server,Yes,Alex,
Vinyl A,✓,20170221,11,20170221,10,20170222,10,leather,HaTT,Seagate,Lab server,Yes,Alex,
ABS,✓,20170221,1,20170221,1,20170222,1,plastic,HaTT (NYC),Seagate,Lab server,Yes,Alex,
Carpet D,✓,20170221,39,20170221,41,20170223,8,carpet,HaTT (NYC),Seagate,Lab server,Yes,Alex,
Floor Tile B,✓,20170221,59,20170222,13,20170223,32,tile,HaTT (NYC),Seagate,Lab server,Yes,Alex,
Large Plastic Mesh,✓,20170221,58,20170222,12,20170223,31,other,HaTT (NYC),Seagate,Lab server,Yes,Alex,
Playing Card,✓,20170221,24,20170221,23,20170222,23,paper,HaTT (NYC),Seagate,Lab server,Yes,Alex,
Stained Wood,✓,20170221,14,20170221,13,20170222,13,wood,HaTT (NYC),Seagate,Lab server,Yes,Alex,
Towel,✓,20170221,42,20170221,44,20170223,14,fabric,HaTT (NYC),Seagate,Lab server,Yes,Alex,
Vinyl B,✓,20170221,13,20170221,12,20170222,12,leather,HaTT (NYC),Seagate,Lab server,Yes,Alex,
Desktop computer case,,20170227,1,20170301,7,20170301,5,plastic,Haptics lab,Seagate,Lab server,Yes,Alex,
Filing cabinet,,20170227,11,20170301,11,20170301,11,metal,Haptics lab,Seagate,Lab server,Yes,Alex,
